tx_id,from_wallet,to_wallet,amount,timestamp,label_hint,risk_score,risk_label,reason
tx_36,0xba2b34a283,0xMULE000001,387.83,2026-02-03T05:43:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_38,0xf87fe3330e,0xMULE000001,562.38,2026-02-03T05:43:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_96,0xba2b34a283,0xMULE000001,487.44,2026-02-03T05:43:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_63,0xf87fe3330e,0xMULE000001,1451.94,2026-02-03T05:44:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_86,0xba2b34a283,0xMULE000001,446.84,2026-02-03T05:44:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_100,0xf87fe3330e,0xMULE000001,317.62,2026-02-03T05:44:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_67,0xf87fe3330e,0xMULE000001,1229.8,2026-02-03T05:45:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_8,0xba2b34a283,0xMULE000001,1759.96,2026-02-03T05:46:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_52,0xf87fe3330e,0xMULE000001,2166.89,2026-02-03T05:47:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_27,0xf87fe3330e,0xMULE000001,509.11,2026-02-03T05:50:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_68,0xba2b34a283,0xMULE000001,1071.96,2026-02-03T05:50:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_10,0xba2b34a283,0xMULE000001,2380.45,2026-02-03T05:51:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_70,0xf87fe3330e,0xMULE000001,1984.6,2026-02-03T05:51:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_99,0xba2b34a283,0xMULE000001,263.36,2026-02-03T05:53:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_22,0xba2b34a283,0xMULE000001,1620.27,2026-02-03T05:54:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_89,0xba2b34a283,0xMULE000001,1608.01,2026-02-03T05:55:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_39,0xba2b34a283,0xMULE000001,1181.29,2026-02-03T05:56:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
tx_85,0xba2b34a283,0xMULE000001,459.22,2026-02-03T05:56:48.484248,SUSPICIOUS_MULE_IN,5,LOW,normal_pattern
